nazwa;ticker;ISIN
WIG20;WIG20;
01CYBATON;01C;PLVCAOC00015
11BIT;11B;PL11BTS00015
2CPARTNER;2CP;PL2CPRT00030
2INTELLECT;2IT;PL2INTC00018
4FUNMEDIA;4FM;PL4FNMD00013
4MOBILITY;4MB;PLESLTN00010
5THAVENUE;5AH;PL5AVNH00013
7FIT;7FT;PLTRCPS00016
7LEVELS;7LV;PL7LVLS00017
PROMISE;PRO;PLAPNPS00017
ABPL;ABE;PLAB00000019
ABADONRE;ABA;PLVARNT00019
ABAK;ABK;PLABAK000013
ABCDATA;ABC;PLABCDT00014
ABMSOLID;ABM;PLABMSD00015
ABSINVEST;AIN;PLABSIN00012
ACAUTOGAZ;ACG;PLACSA000014
ACARTUS;ACA;PLACRTS00018
ACKERMAN;ACK;PLACKRM00010
ACREBIT;ACR;PLACREO00019
ACTION;ACT;PLACTIN00018
ADIUVO;ADV;PLADVIV00015
ADMIRAL;ADM;PLADMBT00013
ADVERTIGO;AVE;PLADMSC00013
AEDES;AED;PLAEDES00016
AFHOL;AFH;PLMNTHL00016
ARI;ARI;PLAGRIN00013
AGORA;AGO;PLAGORA00067
AGROLIGA;AGL;CY0101452114
AGROMEP;AGP;PLAGRMP00010
AGROTON;AGT;CY0101062111
AILLERON;ALL;PLWNDMB00010
AIRWAY;AWM;PLAIRWY00017
AITON;AIT;PLATCDL00013
AKCEPTFIN;AFC;PLAKCFN00013
ALCHEMIA;ALC;PLGRBRN00012
ALDA;ALD;PLALDA000010
ALEJA;ALS;PLALSMC00016
ALIOR;ALR;PLALIOR00045
ALTA;AAT;PLTRNSU00013
ALTUSTFI;ALI;PLATTFI00018
ALUMAST;ALU;PLALMST00010
ALUMETAL;AML;PLALMTL00023
AMBRA;AMB;PLAMBRA00013
AMICA;AMC;PLAMICA00010
AMPLI;APL;PLAMPLI00019
AMREST;EAT;ES0105375002
ANALIZY;AOL;PLONLIN00013
MAKORA;MRA;PLMRKHS00011
APANET;APA;PLAPANT00017
APATOR;APT;PLAPATR00018
APIS;ASA;PLHMSG000019
APLISENS;APN;PLAPLS000016
QUARKVENT;QRK;PLBIOMD00017
APSENERGY;APE;PLAPSEN00011
AQUABB;AQU;PLAQUA000014
AQUAPOZ;AQA;PLAQA0000014
AQUATECH;AQT;PLAQTCH00013
ARAMUS;ARA;PLPNCNR00010
ARCHICOM;ARH;PLARHCM00016
ARCTIC;ATC;PLARTPR00012
ARCUS;ARC;PLARCUS00040
ARENAPL;ARE;PLCRBON00018
ARKROYAL;ARK;PLANMD000014
ARRINERA;ARX;PLABNET00019
ARTERIA;ARR;PLARTER00016
ARTIFEX;ART;PLARTFX00011
ARTP;TYP;PLTLPKA00010
ASBIS;ASB;CY1000031710
ASMGROUP;ASM;PLASMGR00014
ASSECOBS;ABS;PLABS0000018
ASSECOPOL;ACP;PLSOFTB00016
ASSECOSEE;ASE;PLASSEE00014
ASSETUS;ASS;PLASSTS00012
ASTARTA;AST;NL0000686509
ASTRO;ASR;PLASTRO00013
ATAL;1AT;PLATAL000046
ATCCARGO;ATA;PLATCRG00013
ATENDE;ATD;PLATMSI00016
ATLANTAPL;ATP;PLATLPL00018
ATLANTIS;ATS;PLATLNT00016
ATLASEST;ATL;GB00B0WDBP88
ATMGRUPA;ATG;PLATM0000021
ATM;ATM;PLATMSA00013
ATONHT;ATO;PLATNHT00014
ATREM;ATR;PLATREM00017
AUGA;AUG;LT0000127466
AUTOPARTN;APR;PLATPRT00018
APS;APS;PLPOMST00012
AUXILIA;AUX;PLAXILA00018
AWBUD;AWB;PLINSTL00011
AZTEC;AZC;PLAZTEC00011
WINVEST;WIS;PLARIEL00046
BALTICINV;BCI;PLINPNT00013
BALTICON;BLT;PLBLT0000013
SANTANDER;SAN;ES0113900J37
BGZBNPP;BGZ;PLBGZ0000010
HANDLOWY;BHW;PLBH00000012
MILLENNIUM;MIL;PLBIG0000016
BOS;BOS;PLBOS0000019
PEKAO;PEO;PLPEKAO00016
BBIDEV;BBD;PLNFI1200018
BENEFIT;BFT;PLBNFTS00018
BERLING;BRG;PLBRLNG00015
BBINWEST;BBA;PLBBCLS00017
BEST;BST;PLBEST000010
BETACOM;BCM;PLBTCOM00016
BINARY;BHX;PLBNRHL00013
BIOPLANET;BIP;PLBIOPL00013
BIOERG;BER;PLBIORG00019
BIOFACTOR;BFC;PLBFCTR00013
BIOGENED;BGD;PLBIOGN00018
BIOMASS;BEP;PLBMSEP00011
BIOMAXIMA;BMX;PLBIOMX00015
BIOMEDLUB;BML;PLBMDLB00018
BIOTON;BIO;PLBIOTN00029
BITEVIL;BIT;PLBTEVL00019
BIK;BIK;PLBIKPT00014
BIZTECH;BTK;PLBZTKN00013
BLACKPOIN;BPN;PLBLKPT00018
BLIRT;BLR;PLBLIRT00018
BLKCHNLAB;BTC;PLDMNMN00016
BLOOBER;BLO;PLBLOBR00014
BLUETAX;BTG;PLBLTXG00010
BLUMERANG;BLU;PLBLMPI00017
BOA;BOA;PLDRKND00010
BORUTA;BRU;PLBRTZM00010
BORYSZEW;BRS;PLBRSZW00011
BOWIM;BOW;PLBOWM000019
BPX;BPX;PLDOMEX00010
BRAND24;B24;PLBRN2400013
BRAS;BSA;PLINVNT00011
BRASTER;BRA;PLBRSTR00014
BAHOLDING;BAH;PLMRVPL00016
BROADGATE;BDG;PLBRDGT00019
CZARNKOW;BRO;PLBRWRG00013
BSCDRUK;BSC;PLBSCDO00017
BUDIMEX;BDX;PLBUDMX00013
BUDOPOL;BDL;PLBDPWR00014
BUMECH;BMC;PLBMECH00012
BUWOG;BWO;AT00BUWOG001
BVT;BVT;PLBVTSA00012
BYTOM;BTM;PLBYTOM00010
CALATRAVA;CTC;PLBRSTM00015
CALESCO;CLS;PLCLESC00019
CCTOOLS;CCT;PLCCTLS00017
CAMBRIDGE;CAM;PLCCHT000014
CPGROUP;CPG;PLCPPRK00037
CAPITAL;CPA;PLCPTLP00015
CASPAR;CSR;PLCSPAM00017
CCC;CCC;PLCCC0000016
CDPROJEKT;CDR;PLOPTTC00011
CDRL;CDL;PLCDRL000043
CLNPHARMA;CLN;PLCLNPH00015
CTE;CTE;PLCNSPR00019
CFSA;CFS;PLCFBPS00019
ENELMED;ENE;PLENLMD00017
CNT;CNT;PLERGPL00014
CWPE;CWP;PLCWPE000017
VELTO;VEL;PLVELTO00012
CENTURION;CTF;PLSTRGM00014
NOWAGALA;CNG;PLCRMNG00029
CEREALPLT;CRP;CY0103021610
CEZ;CEZ;CZ0005112300
CFI;CFI;PLINTKS00013
CHEMOS;CHS;PLCHMDW00010
CHERRY;CHP;PLCHRPK00018
CIGAMES;CIG;PLCTINT00018
CIASTZKRA;CZK;PLTABLO00012
CIECH;CIE;PLCIECH00018
CITYSERV;CTS;EE3100126368
CCENERGY;CCE;PLKAREN00014
CLOUD;CLD;PLCLDTC00019
COALENERG;CLE;LU0646112838
COGNOR;COG;PLCNTSL00014
COLUMBUS;CLC;PLSTIGR00012
COMARCH;CMR;PLCOMAR00012
COMECO;CMC;PLCOMEC00016
COMP;CMP;PLCMP0000017
COMPERIA;CPL;PLCOMPR00010
COMPRESS;COM;PLCMPRS00011
LIBERTY;LTG;PLLBRTG00012
COPERNIC;CRS;PLCPRSC00012
CORELENS;COR;PLCRLNS00018
CELTIC;CPD;PLCELPD00013
CFG;CFG;PLCRFRG00016
CREEPYJAR;CRJ;PLCRPJR00019
CSY;CSY;PLCSYSA00016
CUBEITG;CTG;PLMCINT00013
CWA;CWA;PLCWA0000018
CCS;CCS;PLCCS0000012
CYFRPLSAT;CPS;PLCFRPT00013
CZTOREBKA;CZT;PLCRWTR00022
DAMFINW;DIN;PLFLYPL00017
DANKS;DNS;PLDANKS00014
DATAWALK;DAT;PLPILAB00012
DECORA;DCR;PLDECOR00013
DEKPOL;DEK;PLDEKPL00032
DEKTRA;DKR;PLDKTRA00013
DELKO;DEL;PLDELKO00019
DENTAMDC;DAM;PLDNTMD00012
DEVORAN;DEV;PLVGUAR00011
DGA;DGA;PLDGA0000019
DIGITAL;DGL;PLDGTAV00013
DINOPL;DNP;PLDINPL00011
DCD;DCD;PLTERRA00016
DOMDEV;DOM;PLDMDVL00012
DOMLEK;DLK;PLDMLKR00023
IDMSA;IDM;PLIDMSA00044
DOOK;DOK;PLDOOK000019
DRFINANCE;DRF;PLDRD2400010
DREWEX;DRE;PLDREWX00012
DROP;DRP;PLDROP000011
DROZAPOL;DPL;PLDRZPL00032
EASTSIDE;ESC;PLEENRG00014
EASYCALL;ECL;PLESCLL00010
EBC;EBC;PLEBCSL00011
EC2;EC2;PLEC20000010
